dataset,exp,mode,n_epochs,lr,batch_size,hidden_size,n_layers,seq_enc,tab_enc,save_weights,train,linear,finetune,fold,exclude,unlabel_ratio,label_ratio,seed,scaler,norm_type,max_auc,max_auc_lp,max_auc_ft,max_auc_all
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,1.0,2,quantile,global,0.5,0.575,0.6083333333333333,0.6083333333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,1.0,3,quantile,global,0.5041666666666667,0.4833333333333333,0.5541666666666667,0.5541666666666667
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,1.0,1.0,0,quantile,global,0.6530172413793104,0.5765086206896551,0.6260775862068966,0.6530172413793104
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,1.0,1.0,1,quantile,global,0.5926724137931034,0.5,0.646551724137931,0.646551724137931
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,1.0,1.0,2,quantile,global,0.5549568965517242,0.5,0.709051724137931,0.709051724137931
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,1.0,1.0,3,quantile,global,0.6584051724137931,0.5,0.6810344827586207,0.6810344827586207
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,1.0,1.0,0,quantile,global,0.6206896551724138,0.5075431034482758,0.7122844827586207,0.7122844827586207
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,1.0,1.0,1,quantile,global,0.6530172413793104,0.5,0.7747844827586207,0.7747844827586207
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,1.0,1.0,2,quantile,global,0.521551724137931,0.5204741379310345,0.7823275862068966,0.7823275862068966
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,1.0,1.0,3,quantile,global,0.6099137931034483,0.5,0.7887931034482759,0.7887931034482759
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,1.0,1.0,0,quantile,global,0.6208333333333333,0.5145833333333334,0.6333333333333333,0.6333333333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,1.0,1.0,1,quantile,global,0.5187499999999999,0.5604166666666667,0.6645833333333333,0.6645833333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,1.0,1.0,2,quantile,global,0.6062500000000001,0.5,0.5708333333333333,0.6062500000000001
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,1.0,1.0,3,quantile,global,0.5520833333333333,0.53125,0.5833333333333334,0.5833333333333334
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,1.0,1.0,0,quantile,global,0.5604166666666667,0.5,0.7729166666666667,0.7729166666666667
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,1.0,1.0,1,quantile,global,0.6270833333333333,0.5,0.7000000000000001,0.7000000000000001
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,1.0,1.0,2,quantile,global,0.575,0.5,0.78125,0.78125
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,1.0,1.0,3,quantile,global,0.5604166666666667,0.5,0.7291666666666667,0.7291666666666667
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,1.0,1.0,0,quantile,global,0.5854166666666666,0.5,0.68125,0.68125
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,1.0,1.0,1,quantile,global,0.7145833333333333,0.6083333333333333,0.6458333333333334,0.7145833333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,1.0,1.0,2,quantile,global,0.5604166666666667,0.55,0.6395833333333334,0.6395833333333334
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,1.0,1.0,3,quantile,global,0.5354166666666667,0.5,0.6083333333333333,0.6083333333333333
lifesnaps,run,simclr,300,0.0001,128,64,3,transformer,resnet,False,True,True,True,0,none,0.1,1.0,0,quantile,global,0.0,0.6530172413793104,0.6670258620689655,0.6670258620689655
lifesnaps,run,simclr,300,0.0001,128,64,3,transformer,resnet,False,True,True,True,0,none,0.1,1.0,1,quantile,global,0.0,0.5905172413793103,0.677801724137931,0.677801724137931
lifesnaps,run,simclr,300,0.0001,128,64,3,transformer,resnet,False,True,True,True,0,none,0.1,1.0,2,quantile,global,0.0,0.615301724137931,0.6918103448275861,0.6918103448275861
lifesnaps,run,simclr,300,0.0001,128,64,3,transformer,resnet,False,True,True,True,0,none,0.1,1.0,3,quantile,global,0.0,0.6228448275862069,0.6810344827586207,0.6810344827586207
lifesnaps,run,simclr,300,0.0001,128,64,3,transformer,resnet,False,True,True,True,1,none,0.1,1.0,0,quantile,global,0.0,0.59375,0.6637931034482759,0.6637931034482759
lifesnaps,run,simclr,300,0.0001,128,64,3,transformer,resnet,False,True,True,True,1,none,0.1,1.0,1,quantile,global,0.0,0.625,0.709051724137931,0.709051724137931
lifesnaps,run,simclr,300,0.0001,128,64,3,transformer,resnet,False,True,True,True,1,none,0.1,1.0,2,quantile,global,0.0,0.6390086206896552,0.7607758620689655,0.7607758620689655
lifesnaps,run,simclr,300,0.0001,128,64,3,transformer,resnet,False,True,True,True,1,none,0.1,1.0,3,quantile,global,0.0,0.6670258620689655,0.7370689655172413,0.7370689655172413
