dataset,exp,mode,n_epochs,lr,batch_size,hidden_size,n_layers,seq_enc,tab_enc,save_weights,train,linear,finetune,fold,exclude,unlabel_ratio,label_ratio,seed,scaler,norm_type,max_auc,max_auc_lp,max_auc_ft,max_auc_all
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,1.0,0.5,2,quantile,global,0.5055900621118012,0.5,0.7989648033126294,0.7989648033126294
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,1.0,0.5,3,quantile,global,0.5595238095238095,0.5,0.7648033126293996,0.7648033126293996
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,1.0,0.5,0,quantile,global,0.5597877117779139,0.5105531741171668,0.732639314145744,0.732639314145744
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,1.0,0.5,1,quantile,global,0.5359665237803632,0.5,0.7637068789548888,0.7637068789548888
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,1.0,0.5,2,quantile,global,0.5209226372729128,0.5,0.7779955092876096,0.7779955092876096
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,1.0,0.5,3,quantile,global,0.5413757909777506,0.5,0.7759134517248419,0.7759134517248419
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,1.0,1.0,0,quantile,global,0.5561141414963771,0.5095660669217618,0.8333061955548319,0.8333061955548319
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,1.0,1.0,1,quantile,global,0.5,0.5160587804282342,0.8309655621590815,0.8309655621590815
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,1.0,1.0,2,quantile,global,0.5023406333957502,0.5406456077505495,0.8089229015712773,0.8089229015712773
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,1.0,1.0,3,quantile,global,0.5547911747944313,0.5097492469266466,0.793047301147928,0.793047301147928
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,1.0,1.0,0,quantile,global,0.5406688687035508,0.5750619322873658,0.8390586292320397,0.8390586292320397
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,1.0,1.0,1,quantile,global,0.5159785301403799,0.5013625103220479,0.8209331131296449,0.8209331131296449
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,1.0,1.0,2,quantile,global,0.5153179190751446,0.5052436003303056,0.7779108175061932,0.7779108175061932
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,1.0,1.0,3,quantile,global,0.5423616845582162,0.5,0.810487200660611,0.810487200660611
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,1.0,0,quantile,global,0.5362318840579711,0.544927536231884,0.8248447204968944,0.8248447204968944
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,1.0,1,quantile,global,0.5233954451345756,0.5006211180124224,0.8202898550724638,0.8202898550724638
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,1.0,2,quantile,global,0.5056935817805384,0.513871635610766,0.810351966873706,0.810351966873706
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,1.0,3,quantile,global,0.5164596273291925,0.5,0.8228778467908903,0.8228778467908903
